uniq,kingdom,phylum
uniq324,Eukaryota,Eukaryota
uniq328,Eukaryota,Eukaryota
uniq327,Eukaryota,Eukaryota
uniq338,Eukaryota,Arthropoda
uniq466,Eukaryota,Eukaryota
uniq636,Eukaryota,Chaetognatha
uniq342,Eukaryota,Eukaryota
uniq349,Eukaryota,Eukaryota
uniq461,Eukaryota,Chaetognatha
uniq503,Eukaryota,Eukaryota
uniq365,Eukaryota,Mollusca
uniq367,Eukaryota,Eukaryota
uniq370,Eukaryota,Chordata
uniq363,Eukaryota,Arthropoda
uniq634,Eukaryota,Eukaryota
uniq372,Eukaryota,Eukaryota
uniq373,Eukaryota,Eukaryota
uniq380,Eukaryota,Chordata
uniq381,Eukaryota,Rhodophyta
uniq385,Eukaryota,Arthropoda
uniq386,Eukaryota,Arthropoda
uniq1128,Eukaryota,Mollusca
uniq581,Eukaryota,Arthropoda
uniq388,Eukaryota,Chaetognatha
uniq391,Eukaryota,Eukaryota
uniq1275,Eukaryota,Eukaryota
uniq395,Eukaryota,Eukaryota
uniq497,Eukaryota,Eukaryota
uniq393,Eukaryota,Eukaryota
uniq397,Eukaryota,Arthropoda
uniq529,Eukaryota,Cnidaria
uniq399,Eukaryota,Eukaryota
uniq401,Eukaryota,Chaetognatha
uniq407,Eukaryota,Arthropoda
uniq414,Eukaryota,Chaetognatha
uniq865,Eukaryota,Eukaryota
uniq425,Eukaryota,Eukaryota
uniq751,Eukaryota,Arthropoda
uniq426,Eukaryota,Chaetognatha
uniq430,Eukaryota,Arthropoda
uniq512,Eukaryota,Cnidaria
uniq431,Eukaryota,Chordata
uniq901,Eukaryota,Eukaryota
uniq434,Eukaryota,Eukaryota
uniq433,Eukaryota,Arthropoda
uniq539,Eukaryota,Eukaryota
uniq440,Eukaryota,Arthropoda
uniq439,Eukaryota,Eukaryota
uniq443,Eukaryota,Hemichordata
uniq737,Eukaryota,Cnidaria
uniq546,Eukaryota,Eukaryota
uniq1219,Eukaryota,Cnidaria
uniq448,Eukaryota,Chordata
uniq444,Eukaryota,Arthropoda
uniq564,Eukaryota,Eukaryota
uniq449,Eukaryota,Chaetognatha
uniq453,Eukaryota,Arthropoda
uniq459,Eukaryota,Mollusca
uniq455,Eukaryota,Eukaryota
uniq470,Eukaryota,Chordata
uniq815,Eukaryota,Eukaryota
uniq473,Eukaryota,Cnidaria
uniq485,Eukaryota,Bacillariophyta
uniq1020,Eukaryota,Eukaryota
uniq486,Eukaryota,Mollusca
uniq1142,Eukaryota,Mollusca
uniq788,Eukaryota,Arthropoda
uniq491,Eukaryota,Mollusca
uniq493,Eukaryota,Arthropoda
uniq494,Eukaryota,Eukaryota
uniq1475,Eukaryota,Eukaryota
uniq498,Eukaryota,Arthropoda
uniq502,Eukaryota,Echinodermata
uniq506,Eukaryota,Arthropoda
uniq507,Eukaryota,Chordata
uniq593,Eukaryota,Arthropoda
uniq513,Eukaryota,Arthropoda
uniq753,Eukaryota,Eukaryota
uniq517,Eukaryota,Chordata
uniq518,Eukaryota,Eukaryota
uniq928,Eukaryota,Echinodermata
uniq527,Eukaryota,Chaetognatha
uniq792,Eukaryota,Eukaryota
uniq1225,Eukaryota,Eukaryota
uniq536,Eukaryota,Chaetognatha
uniq622,Eukaryota,Arthropoda
uniq540,Eukaryota,Chordata
uniq550,Eukaryota,Eukaryota
uniq537,Eukaryota,Mollusca
uniq543,Eukaryota,Chaetognatha
uniq544,Eukaryota,Eukaryota
uniq542,Eukaryota,Arthropoda
uniq1034,Eukaryota,Eukaryota
uniq558,Eukaryota,Arthropoda
uniq1205,Eukaryota,Eukaryota
uniq567,Eukaryota,Chordata
uniq561,Eukaryota,Eukaryota
uniq568,Eukaryota,Eukaryota
uniq565,Eukaryota,Eukaryota
uniq1139,Eukaryota,Bacillariophyta
uniq576,Eukaryota,Eukaryota
uniq1327,Eukaryota,Arthropoda
uniq586,Eukaryota,Chordata
uniq678,Eukaryota,Rhodophyta
uniq589,Eukaryota,Eukaryota
uniq590,Eukaryota,Eukaryota
uniq828,Eukaryota,Eukaryota
uniq599,Eukaryota,Eukaryota
uniq614,Eukaryota,Eukaryota
uniq602,Eukaryota,Eukaryota
uniq610,Eukaryota,Mollusca
uniq611,Eukaryota,Arthropoda
uniq1572,Eukaryota,Chordata
uniq2215,Eukaryota,Eukaryota
uniq624,Eukaryota,Chordata
uniq629,Eukaryota,Chordata
uniq625,Eukaryota,Arthropoda
uniq1263,Eukaryota,Echinodermata
uniq641,Eukaryota,Chaetognatha
uniq1122,Eukaryota,Eukaryota
uniq881,Eukaryota,Arthropoda
uniq750,Eukaryota,Arthropoda
uniq643,Eukaryota,Eukaryota
uniq647,Eukaryota,Eukaryota
uniq1601,Eukaryota,Eukaryota
uniq648,Eukaryota,Cnidaria
uniq649,Eukaryota,Arthropoda
uniq755,Eukaryota,Eukaryota
uniq652,Eukaryota,Eukaryota
uniq2364,Eukaryota,Mollusca
uniq1403,Eukaryota,Eukaryota
uniq670,Eukaryota,Porifera
uniq2132,Eukaryota,Mollusca
uniq672,Eukaryota,Eukaryota
uniq1116,Eukaryota,Eukaryota
uniq1536,Eukaryota,Eukaryota
uniq890,Eukaryota,Arthropoda
uniq686,Eukaryota,Eukaryota
uniq689,Eukaryota,Eukaryota
uniq700,Eukaryota,Eukaryota
uniq698,Eukaryota,Cnidaria
uniq1299,Eukaryota,Arthropoda
uniq705,Eukaryota,Eukaryota
uniq1133,Eukaryota,Eukaryota
uniq720,Eukaryota,Chaetognatha
uniq717,Eukaryota,Eukaryota
uniq994,Eukaryota,Annelida
uniq722,Eukaryota,Eukaryota
uniq1048,Eukaryota,Eukaryota
uniq736,Eukaryota,Cnidaria
uniq732,Eukaryota,Arthropoda
uniq735,Eukaryota,Arthropoda
uniq869,Eukaryota,Eukaryota
uniq749,Eukaryota,Eukaryota
uniq1585,Eukaryota,Eukaryota
uniq3100,Eukaryota,Eukaryota
uniq756,Eukaryota,Arthropoda
uniq767,Eukaryota,Eukaryota
uniq962,Eukaryota,Eukaryota
uniq765,Eukaryota,Eukaryota
uniq763,Eukaryota,Eukaryota
uniq771,Eukaryota,Eukaryota
uniq1307,Eukaryota,Eukaryota
uniq1092,Eukaryota,Eukaryota
uniq775,Eukaryota,Chordata
uniq784,Eukaryota,Arthropoda
uniq1110,Eukaryota,Eukaryota
uniq970,Eukaryota,Arthropoda
uniq786,Eukaryota,Arthropoda
uniq797,Eukaryota,Chaetognatha
uniq1274,Eukaryota,Arthropoda
uniq1105,Eukaryota,Eukaryota
uniq806,Eukaryota,Chordata
uniq808,Eukaryota,Chaetognatha
uniq1378,Eukaryota,Eukaryota
uniq807,Eukaryota,Mollusca
uniq810,Eukaryota,Chaetognatha
uniq958,Eukaryota,Eukaryota
uniq811,Eukaryota,Arthropoda
uniq813,Eukaryota,Chordata
uniq821,Eukaryota,Echinodermata
uniq818,Eukaryota,Eukaryota
uniq1980,Eukaryota,Eukaryota
uniq822,Eukaryota,Eukaryota
uniq820,Eukaryota,Eukaryota
uniq825,Eukaryota,Cnidaria
uniq824,Eukaryota,Eukaryota
uniq978,Eukaryota,Eukaryota
uniq831,Eukaryota,Chaetognatha
uniq835,Eukaryota,Eukaryota
uniq830,Eukaryota,Eukaryota
uniq837,Eukaryota,Annelida
uniq827,Eukaryota,Eukaryota
uniq839,Eukaryota,Eukaryota
uniq845,Eukaryota,Arthropoda
uniq843,Eukaryota,Eukaryota
uniq1521,Eukaryota,Chaetognatha
uniq1036,Eukaryota,Eukaryota
uniq2539,Eukaryota,Arthropoda
uniq1058,Eukaryota,Eukaryota
uniq849,Eukaryota,Arthropoda
uniq850,Eukaryota,Eukaryota
uniq1385,Eukaryota,Eukaryota
uniq855,Eukaryota,Arthropoda
uniq859,Eukaryota,Eukaryota
uniq1841,Eukaryota,Arthropoda
uniq1806,Eukaryota,Mollusca
uniq2676,Eukaryota,Eukaryota
uniq862,Eukaryota,Arthropoda
uniq867,Eukaryota,Arthropoda
uniq870,Eukaryota,Chordata
uniq1124,Eukaryota,Eukaryota
uniq874,Eukaryota,Echinodermata
uniq876,Eukaryota,Cnidaria
uniq895,Eukaryota,Chaetognatha
uniq889,Eukaryota,Chordata
uniq898,Eukaryota,Cnidaria
uniq909,Eukaryota,Eukaryota
uniq910,Eukaryota,Chaetognatha
uniq1552,Eukaryota,Chordata
uniq1298,Eukaryota,Chaetognatha
uniq917,Eukaryota,Eukaryota
uniq2315,Eukaryota,Arthropoda
uniq920,Eukaryota,Eukaryota
uniq921,Eukaryota,Arthropoda
uniq1527,Eukaryota,Eukaryota
uniq925,Eukaryota,Arthropoda
uniq932,Eukaryota,Eukaryota
uniq945,Eukaryota,Chaetognatha
uniq939,Eukaryota,Eukaryota
uniq944,Eukaryota,Chordata
uniq957,Eukaryota,Eukaryota
uniq950,Eukaryota,Chordata
uniq956,Eukaryota,Eukaryota
uniq965,Eukaryota,Eukaryota
uniq971,Eukaryota,Eukaryota
uniq1234,Eukaryota,Arthropoda
uniq985,Eukaryota,Arthropoda
uniq1177,Eukaryota,Eukaryota
uniq993,Eukaryota,Arthropoda
uniq1004,Eukaryota,Eukaryota
uniq1012,Eukaryota,Chordata
uniq1668,Eukaryota,Eukaryota
uniq1016,Eukaryota,Arthropoda
uniq999,Eukaryota,Eukaryota
uniq2397,Eukaryota,Eukaryota
uniq1030,Eukaryota,Arthropoda
uniq1026,Eukaryota,Eukaryota
uniq2073,Eukaryota,Eukaryota
uniq1033,Eukaryota,Eukaryota
uniq1029,Eukaryota,Eukaryota
uniq1296,Eukaryota,Eukaryota
uniq2513,Eukaryota,Eukaryota
uniq1300,Eukaryota,Chaetognatha
uniq1038,Eukaryota,Arthropoda
uniq1309,Eukaryota,Arthropoda
uniq1812,Eukaryota,Chordata
uniq1050,Eukaryota,Eukaryota
uniq1336,Eukaryota,Eukaryota
uniq2280,Eukaryota,Arthropoda
uniq1064,Eukaryota,Arthropoda
uniq2046,Eukaryota,Annelida
uniq1072,Eukaryota,Eukaryota
uniq1093,Eukaryota,Arthropoda
uniq1091,Eukaryota,Arthropoda
uniq1709,Eukaryota,Chaetognatha
uniq1099,Eukaryota,Rhodophyta
uniq1106,Eukaryota,Cnidaria
uniq1109,Eukaryota,Mollusca
uniq1320,Eukaryota,Eukaryota
uniq1120,Eukaryota,Arthropoda
uniq1583,Eukaryota,Eukaryota
uniq1125,Eukaryota,Arthropoda
uniq1141,Eukaryota,Eukaryota
uniq2451,Eukaryota,Eukaryota
uniq1138,Eukaryota,Chaetognatha
uniq1144,Eukaryota,Cnidaria
uniq2480,Eukaryota,Eukaryota
uniq1147,Eukaryota,Eukaryota
uniq1146,Eukaryota,Eukaryota
uniq1148,Eukaryota,Annelida
uniq1159,Eukaryota,Eukaryota
uniq2185,Eukaryota,Mollusca
uniq1690,Eukaryota,Arthropoda
uniq1174,Eukaryota,Eukaryota
uniq1160,Eukaryota,Mollusca
uniq1164,Eukaryota,Eukaryota
uniq1168,Eukaryota,Arthropoda
uniq1903,Eukaryota,Arthropoda
uniq1933,Eukaryota,Eukaryota
uniq1184,Eukaryota,Arthropoda
uniq1691,Eukaryota,Eukaryota
uniq1203,Eukaryota,Arthropoda
uniq1204,Eukaryota,Eukaryota
uniq1647,Eukaryota,Eukaryota
uniq1546,Eukaryota,Eukaryota
uniq2658,Eukaryota,Arthropoda
uniq1213,Eukaryota,Eukaryota
uniq1216,Eukaryota,Eukaryota
uniq1250,Eukaryota,Eukaryota
uniq1230,Eukaryota,Mollusca
uniq1238,Eukaryota,Eukaryota
uniq1539,Eukaryota,Arthropoda
uniq2070,Eukaryota,Eukaryota
uniq1256,Eukaryota,Eukaryota
uniq1258,Eukaryota,Arthropoda
uniq1257,Eukaryota,Eukaryota
uniq4383,Eukaryota,Arthropoda
uniq1842,Eukaryota,Eukaryota
uniq1260,Eukaryota,Arthropoda
uniq1271,Eukaryota,Mollusca
uniq1278,Eukaryota,Chaetognatha
uniq1284,Eukaryota,Eukaryota
uniq1295,Eukaryota,Eukaryota
uniq1287,Eukaryota,Arthropoda
uniq1301,Eukaryota,Eukaryota
uniq1658,Eukaryota,Eukaryota
uniq1643,Eukaryota,Eukaryota
uniq1311,Eukaryota,Eukaryota
uniq5692,Eukaryota,Eukaryota
uniq1318,Eukaryota,Arthropoda
uniq2394,Eukaryota,Eukaryota
uniq2005,Eukaryota,Eukaryota
uniq2472,Eukaryota,Mollusca
uniq2079,Eukaryota,Eukaryota
uniq1607,Eukaryota,Eukaryota
uniq1330,Eukaryota,Chaetognatha
uniq1337,Eukaryota,Eukaryota
uniq2281,Eukaryota,Mollusca
uniq1335,Eukaryota,Arthropoda
uniq2156,Eukaryota,Eukaryota
uniq1352,Eukaryota,Eukaryota
uniq2557,Eukaryota,Mollusca
uniq1356,Eukaryota,Chaetognatha
uniq3129,Eukaryota,Eukaryota
uniq2773,Eukaryota,Arthropoda
uniq3674,Eukaryota,Eukaryota
uniq1358,Eukaryota,Eukaryota
uniq1360,Eukaryota,Eukaryota
uniq1365,Eukaryota,Cnidaria
uniq1375,Eukaryota,Eukaryota
uniq1377,Eukaryota,Chaetognatha
uniq1383,Eukaryota,Eukaryota
uniq1602,Eukaryota,Mollusca
uniq2461,Eukaryota,Mollusca
uniq2681,Eukaryota,Eukaryota
uniq1397,Eukaryota,Chaetognatha
uniq2302,Eukaryota,Arthropoda
uniq1387,Eukaryota,Eukaryota
uniq3557,Eukaryota,Eukaryota
uniq4656,Eukaryota,Eukaryota
uniq1414,Eukaryota,Echinodermata
uniq3242,Eukaryota,Eukaryota
uniq3509,Eukaryota,Eukaryota
uniq1418,Eukaryota,Arthropoda
uniq1424,Eukaryota,Eukaryota
uniq1429,Eukaryota,Chordata
uniq1437,Eukaryota,Echinodermata
uniq1435,Eukaryota,Chordata
uniq1434,Eukaryota,Eukaryota
uniq1443,Eukaryota,Eukaryota
uniq1442,Eukaryota,Eukaryota
uniq1440,Eukaryota,Annelida
uniq2430,Eukaryota,Eukaryota
uniq3726,Eukaryota,Eukaryota
uniq1453,Eukaryota,Haptista
uniq3783,Eukaryota,Eukaryota
uniq1457,Eukaryota,Eukaryota
uniq1737,Eukaryota,Mollusca
uniq1479,Eukaryota,Arthropoda
uniq1481,Eukaryota,Eukaryota
uniq1487,Eukaryota,Eukaryota
uniq1482,Eukaryota,Chaetognatha
uniq1501,Eukaryota,Eukaryota
uniq1500,Eukaryota,Chordata
uniq1493,Eukaryota,Eukaryota
uniq1505,Eukaryota,Eukaryota
uniq1513,Eukaryota,Chordata
uniq1517,Eukaryota,Mollusca
uniq3173,Eukaryota,Eukaryota
uniq1506,Eukaryota,Eukaryota
uniq1805,Eukaryota,Eukaryota
uniq1514,Eukaryota,Eukaryota
uniq1979,Eukaryota,Chordata
uniq2505,Eukaryota,Cnidaria
uniq1530,Eukaryota,Eukaryota
uniq2509,Eukaryota,Chordata
uniq1538,Eukaryota,Eukaryota
uniq2788,Eukaryota,Arthropoda
uniq1547,Eukaryota,Cnidaria
uniq1568,Eukaryota,Chordata
uniq1560,Eukaryota,Eukaryota
uniq1576,Eukaryota,Eukaryota
uniq1579,Eukaryota,Chaetognatha
uniq1600,Eukaryota,Eukaryota
uniq1609,Eukaryota,Eukaryota
uniq1613,Eukaryota,Arthropoda
uniq1619,Eukaryota,Annelida
uniq1632,Eukaryota,Arthropoda
uniq1641,Eukaryota,Mollusca
uniq1625,Eukaryota,Eukaryota
uniq1624,Eukaryota,Chordata
uniq1642,Eukaryota,Eukaryota
uniq2671,Eukaryota,Eukaryota
uniq1644,Eukaryota,Chordata
uniq1932,Eukaryota,Eukaryota
uniq1665,Eukaryota,Chaetognatha
uniq1659,Eukaryota,Chaetognatha
uniq1649,Eukaryota,Eukaryota
uniq1669,Eukaryota,Mollusca
uniq1666,Eukaryota,Eukaryota
uniq1670,Eukaryota,Eukaryota
uniq3891,Eukaryota,Eukaryota
uniq1682,Eukaryota,Eukaryota
uniq1685,Eukaryota,Chaetognatha
uniq1966,Eukaryota,Eukaryota
uniq1688,Eukaryota,Eukaryota
uniq1674,Eukaryota,Eukaryota
uniq2540,Eukaryota,Eukaryota
uniq2597,Eukaryota,Eukaryota
uniq1697,Eukaryota,Arthropoda
uniq1707,Eukaryota,Eukaryota
uniq2902,Eukaryota,Eukaryota
uniq2612,Eukaryota,Chaetognatha
uniq1989,Eukaryota,Eukaryota
uniq1715,Eukaryota,Mollusca
uniq1717,Eukaryota,Eukaryota
uniq4031,Eukaryota,Eukaryota
uniq1726,Eukaryota,Mollusca
uniq1721,Eukaryota,Arthropoda
uniq1725,Eukaryota,Arthropoda
uniq5780,Eukaryota,Mollusca
uniq2628,Eukaryota,Bacillariophyta
uniq1997,Eukaryota,Eukaryota
uniq1746,Eukaryota,Chaetognatha
uniq1738,Eukaryota,Eukaryota
uniq1751,Eukaryota,Eukaryota
uniq2031,Eukaryota,Eukaryota
uniq3271,Eukaryota,Eukaryota
uniq1766,Eukaryota,Arthropoda
uniq2274,Eukaryota,Arthropoda
uniq3849,Eukaryota,Mollusca
uniq1769,Eukaryota,Chaetognatha
uniq2534,Eukaryota,Eukaryota
uniq1770,Eukaryota,Mollusca
uniq4023,Eukaryota,Arthropoda
uniq1791,Eukaryota,Eukaryota
uniq1778,Eukaryota,Eukaryota
uniq2087,Eukaryota,Eukaryota
uniq1796,Eukaryota,Arthropoda
uniq1795,Eukaryota,Mollusca
uniq1800,Eukaryota,Chordata
uniq1809,Eukaryota,Eukaryota
uniq2224,Eukaryota,Eukaryota
uniq2088,Eukaryota,Mollusca
uniq7151,Eukaryota,Eukaryota
uniq2209,Eukaryota,Chordata
uniq1829,Eukaryota,Echinodermata
uniq1823,Eukaryota,Arthropoda
uniq2952,Eukaryota,Eukaryota
uniq1838,Eukaryota,Echinodermata
uniq1830,Eukaryota,Eukaryota
uniq1836,Eukaryota,Eukaryota
uniq2246,Eukaryota,Eukaryota
uniq1847,Eukaryota,Echinodermata
uniq1850,Eukaryota,Echinodermata
uniq1848,Eukaryota,Eukaryota
uniq4581,Eukaryota,Eukaryota
uniq1856,Eukaryota,Chaetognatha
uniq2784,Eukaryota,Eukaryota
uniq1872,Eukaryota,Bacillariophyta
uniq1887,Eukaryota,Eukaryota
uniq1893,Eukaryota,Eukaryota
uniq1895,Eukaryota,Mollusca
uniq1888,Eukaryota,Eukaryota
uniq1896,Eukaryota,Eukaryota
uniq1912,Eukaryota,Chaetognatha
uniq2520,Eukaryota,Eukaryota
uniq1900,Eukaryota,Bacillariophyta
uniq1913,Eukaryota,Arthropoda
uniq1921,Eukaryota,Arthropoda
uniq3249,Eukaryota,Eukaryota
uniq2947,Eukaryota,Eukaryota
uniq3365,Eukaryota,Eukaryota
uniq1930,Eukaryota,Eukaryota
uniq1941,Eukaryota,Mollusca
uniq1940,Eukaryota,Eukaryota
uniq1937,Eukaryota,Eukaryota
uniq1942,Eukaryota,Eukaryota
uniq1944,Eukaryota,Eukaryota
uniq3836,Eukaryota,Mollusca
uniq1953,Eukaryota,Cnidaria
uniq3417,Eukaryota,Eukaryota
uniq3921,Eukaryota,Mollusca
uniq1959,Eukaryota,Chordata
uniq1960,Eukaryota,Eukaryota
uniq1973,Eukaryota,Eukaryota
uniq1975,Eukaryota,Bacillariophyta
uniq1991,Eukaryota,Eukaryota
uniq3916,Eukaryota,Eukaryota
uniq2008,Eukaryota,Eukaryota
uniq2002,Eukaryota,Eukaryota
uniq2000,Eukaryota,Eukaryota
uniq2011,Eukaryota,Arthropoda
uniq2019,Eukaryota,Eukaryota
uniq2025,Eukaryota,Eukaryota
uniq2027,Eukaryota,Eukaryota
uniq2018,Eukaryota,Eukaryota
uniq2029,Eukaryota,Arthropoda
uniq2034,Eukaryota,Echinodermata
uniq2036,Eukaryota,Arthropoda
uniq2408,Eukaryota,Eukaryota
uniq2047,Eukaryota,Eukaryota
uniq2048,Eukaryota,Eukaryota
uniq2058,Eukaryota,Eukaryota
uniq2059,Eukaryota,Annelida
uniq3422,Eukaryota,Eukaryota
uniq2052,Eukaryota,Eukaryota
uniq5577,Eukaryota,Eukaryota
uniq3666,Eukaryota,Chaetognatha
uniq2096,Eukaryota,Eukaryota
uniq2093,Eukaryota,Eukaryota
uniq2102,Eukaryota,Chaetognatha
uniq2107,Eukaryota,Eukaryota
uniq2109,Eukaryota,Eukaryota
uniq2128,Eukaryota,Eukaryota
uniq7072,Eukaryota,Mollusca
uniq4200,Eukaryota,Cnidaria
uniq2114,Eukaryota,Eukaryota
uniq2581,Eukaryota,Eukaryota
uniq3336,Eukaryota,Eukaryota
uniq2131,Eukaryota,Eukaryota
uniq2148,Eukaryota,Chaetognatha
uniq2147,Eukaryota,Eukaryota
uniq2164,Eukaryota,Eukaryota
uniq2163,Eukaryota,Eukaryota
uniq2169,Eukaryota,Echinodermata
uniq2181,Eukaryota,Eukaryota
uniq2175,Eukaryota,Arthropoda
uniq4727,Eukaryota,Eukaryota
uniq2178,Eukaryota,Eukaryota
uniq2189,Eukaryota,Eukaryota
uniq2573,Eukaryota,Eukaryota
uniq2558,Eukaryota,Mollusca
uniq3641,Eukaryota,Chaetognatha
uniq2917,Eukaryota,Eukaryota
uniq2206,Eukaryota,Arthropoda
uniq2211,Eukaryota,Eukaryota
uniq2220,Eukaryota,Eukaryota
uniq2823,Eukaryota,Mollusca
uniq2665,Eukaryota,Eukaryota
