phylum,variable,value
Platyhelminthes,sample5,0
Porifera,sample5,0
Sipuncula,sample5,0
Annelida,sample6,7
Arthropoda,sample6,50
Brachiopoda,sample6,0
Chaetognatha,sample6,3
Chordata,sample6,6
Cnidaria,sample6,1
Ctenophora,sample6,0
Echinodermata,sample6,0
Entoprocta,sample6,0
Hemichordata,sample6,0
Mollusca,sample6,32
Nemertea,sample6,2
Phoronida,sample6,0
Platyhelminthes,sample6,0
Porifera,sample6,0
Sipuncula,sample6,0
Annelida,sample7,3
Arthropoda,sample7,45
Brachiopoda,sample7,0
Chaetognatha,sample7,6
Chordata,sample7,11
Cnidaria,sample7,4
Ctenophora,sample7,0
Echinodermata,sample7,0
Entoprocta,sample7,0
Hemichordata,sample7,0
Mollusca,sample7,82
Nemertea,sample7,0
Phoronida,sample7,0
Platyhelminthes,sample7,0
Porifera,sample7,0
Sipuncula,sample7,0
Annelida,sample8,1
Arthropoda,sample8,35
Brachiopoda,sample8,0
Chaetognatha,sample8,5
Chordata,sample8,5
Cnidaria,sample8,0
Ctenophora,sample8,0
Echinodermata,sample8,0
Entoprocta,sample8,0
Hemichordata,sample8,0
Mollusca,sample8,34
Nemertea,sample8,1
Phoronida,sample8,0
Platyhelminthes,sample8,0
Porifera,sample8,0
Sipuncula,sample8,0
Annelida,sample9,3
Arthropoda,sample9,78
Brachiopoda,sample9,0
Chaetognatha,sample9,11
Chordata,sample9,8
Cnidaria,sample9,1
Ctenophora,sample9,0
Echinodermata,sample9,0
Entoprocta,sample9,0
Hemichordata,sample9,0
Mollusca,sample9,23
Nemertea,sample9,1
Phoronida,sample9,0
Platyhelminthes,sample9,0
Porifera,sample9,0
Sipuncula,sample9,0
Annelida,sample10,3
Arthropoda,sample10,75
Brachiopoda,sample10,0
Chaetognatha,sample10,33
Chordata,sample10,10
Cnidaria,sample10,9
Ctenophora,sample10,0
Echinodermata,sample10,6
Entoprocta,sample10,0
Hemichordata,sample10,0
Mollusca,sample10,33
Nemertea,sample10,0
Phoronida,sample10,0
Platyhelminthes,sample10,0
Porifera,sample10,1
Sipuncula,sample10,0
Annelida,sample11,3
Arthropoda,sample11,56
Brachiopoda,sample11,0
Chaetognatha,sample11,24
Chordata,sample11,12
Cnidaria,sample11,6
Ctenophora,sample11,0
Echinodermata,sample11,1
Entoprocta,sample11,0
Hemichordata,sample11,0
Mollusca,sample11,21
Nemertea,sample11,0
Phoronida,sample11,0
Platyhelminthes,sample11,0
Porifera,sample11,1
Sipuncula,sample11,0
Annelida,sample12,2
Arthropoda,sample12,63
Brachiopoda,sample12,0
Chaetognatha,sample12,15
Chordata,sample12,24
Cnidaria,sample12,8
Ctenophora,sample12,0
Echinodermata,sample12,11
Entoprocta,sample12,0
Hemichordata,sample12,1
Mollusca,sample12,13
Nemertea,sample12,0
Phoronida,sample12,1
Platyhelminthes,sample12,0
Porifera,sample12,0
Sipuncula,sample12,0
Annelida,sample13,2
Arthropoda,sample13,59
Brachiopoda,sample13,0
Chaetognatha,sample13,16
Chordata,sample13,16
Cnidaria,sample13,14
Ctenophora,sample13,0
Echinodermata,sample13,11
Entoprocta,sample13,0
Hemichordata,sample13,0
Mollusca,sample13,30
Nemertea,sample13,1
Phoronida,sample13,0
Platyhelminthes,sample13,0
Porifera,sample13,1
Sipuncula,sample13,0
Annelida,sample14,5
Arthropoda,sample14,68
Brachiopoda,sample14,0
Chaetognatha,sample14,19
Chordata,sample14,12
Cnidaria,sample14,10
Ctenophora,sample14,0
Echinodermata,sample14,4
Entoprocta,sample14,0
Hemichordata,sample14,0
Mollusca,sample14,29
Nemertea,sample14,0
Phoronida,sample14,0
Platyhelminthes,sample14,1
Porifera,sample14,2
Sipuncula,sample14,1
Annelida,sample15,5
Arthropoda,sample15,67
Brachiopoda,sample15,0
Chaetognatha,sample15,21
Chordata,sample15,9
Cnidaria,sample15,5
Ctenophora,sample15,0
Echinodermata,sample15,9
Entoprocta,sample15,0
Hemichordata,sample15,0
Mollusca,sample15,26
Nemertea,sample15,0
Phoronida,sample15,0
Platyhelminthes,sample15,0
Porifera,sample15,1
Sipuncula,sample15,2
Annelida,sample16,4
Arthropoda,sample16,30
Brachiopoda,sample16,0
Chaetognatha,sample16,5
Chordata,sample16,10
Cnidaria,sample16,7
Ctenophora,sample16,0
Echinodermata,sample16,1
Entoprocta,sample16,0
Hemichordata,sample16,0
Mollusca,sample16,2
Nemertea,sample16,0
Phoronida,sample16,0
Platyhelminthes,sample16,0
Porifera,sample16,2
Sipuncula,sample16,0
Annelida,sample17,4
Arthropoda,sample17,33
Brachiopoda,sample17,0
Chaetognatha,sample17,9
Chordata,sample17,10
Cnidaria,sample17,16
Ctenophora,sample17,0
Echinodermata,sample17,1
Entoprocta,sample17,0
Hemichordata,sample17,0
Mollusca,sample17,9
Nemertea,sample17,0
Phoronida,sample17,0
Platyhelminthes,sample17,0
Porifera,sample17,0
Sipuncula,sample17,0
Annelida,sample18,4
Arthropoda,sample18,62
Brachiopoda,sample18,0
Chaetognatha,sample18,8
Chordata,sample18,4
Cnidaria,sample18,15
Ctenophora,sample18,0
Echinodermata,sample18,4
Entoprocta,sample18,0
Hemichordata,sample18,0
Mollusca,sample18,14
Nemertea,sample18,0
Phoronida,sample18,0
Platyhelminthes,sample18,0
Porifera,sample18,3
Sipuncula,sample18,0
Annelida,sample19,3
Arthropoda,sample19,73
Brachiopoda,sample19,0
Chaetognatha,sample19,25
Chordata,sample19,12
Cnidaria,sample19,21
Ctenophora,sample19,0
Echinodermata,sample19,4
Entoprocta,sample19,0
Hemichordata,sample19,0
Mollusca,sample19,10
Nemertea,sample19,0
Phoronida,sample19,0
Platyhelminthes,sample19,0
Porifera,sample19,2
Sipuncula,sample19,0
Annelida,sample20,6
Arthropoda,sample20,58
Brachiopoda,sample20,0
Chaetognatha,sample20,94
Chordata,sample20,13
Cnidaria,sample20,28
Ctenophora,sample20,0
Echinodermata,sample20,9
Entoprocta,sample20,0
Hemichordata,sample20,0
Mollusca,sample20,7
Nemertea,sample20,0
Phoronida,sample20,0
Platyhelminthes,sample20,0
Porifera,sample20,0
Sipuncula,sample20,0
Annelida,sample21,4
Arthropoda,sample21,58
Brachiopoda,sample21,0
Chaetognatha,sample21,53
Chordata,sample21,7
Cnidaria,sample21,9
Ctenophora,sample21,0
Echinodermata,sample21,3
Entoprocta,sample21,0
Hemichordata,sample21,0
Mollusca,sample21,10
Nemertea,sample21,0
Phoronida,sample21,0
Platyhelminthes,sample21,0
Porifera,sample21,0
Sipuncula,sample21,0
Annelida,sample22,4
Arthropoda,sample22,30
Brachiopoda,sample22,0
Chaetognatha,sample22,10
Chordata,sample22,10
Cnidaria,sample22,2
Ctenophora,sample22,0
Echinodermata,sample22,4
Entoprocta,sample22,0
Hemichordata,sample22,1
Mollusca,sample22,9
Nemertea,sample22,0
Phoronida,sample22,0
Platyhelminthes,sample22,0
Porifera,sample22,2
Sipuncula,sample22,0
Annelida,sample23,2
Arthropoda,sample23,31
Brachiopoda,sample23,0
Chaetognatha,sample23,14
Chordata,sample23,10
Cnidaria,sample23,2
Ctenophora,sample23,0
Echinodermata,sample23,5
Entoprocta,sample23,0
Hemichordata,sample23,0
Mollusca,sample23,3
Nemertea,sample23,0
Phoronida,sample23,0
Platyhelminthes,sample23,0
Porifera,sample23,0
Sipuncula,sample23,0
Annelida,sample24,4
Arthropoda,sample24,60
Brachiopoda,sample24,0
Chaetognatha,sample24,8
Chordata,sample24,3
Cnidaria,sample24,1
Ctenophora,sample24,0
Echinodermata,sample24,0
Entoprocta,sample24,0
Hemichordata,sample24,0
Mollusca,sample24,20
Nemertea,sample24,0
Phoronida,sample24,0
Platyhelminthes,sample24,0
Porifera,sample24,6
Sipuncula,sample24,0
Annelida,sample25,4
Arthropoda,sample25,80
Brachiopoda,sample25,1
Chaetognatha,sample25,11
Chordata,sample25,6
Cnidaria,sample25,4
Ctenophora,sample25,0
Echinodermata,sample25,5
Entoprocta,sample25,0
Hemichordata,sample25,1
Mollusca,sample25,42
Nemertea,sample25,0
Phoronida,sample25,0
Platyhelminthes,sample25,0
Porifera,sample25,2
Sipuncula,sample25,0
Annelida,sample26,2
Arthropoda,sample26,77
Brachiopoda,sample26,0
Chaetognatha,sample26,5
Chordata,sample26,3
Cnidaria,sample26,11
Ctenophora,sample26,0
Echinodermata,sample26,3
Entoprocta,sample26,0
Hemichordata,sample26,0
Mollusca,sample26,33
Nemertea,sample26,0
Phoronida,sample26,0
Platyhelminthes,sample26,0
Porifera,sample26,1
Sipuncula,sample26,0
Annelida,sample27,5
Arthropoda,sample27,96
Brachiopoda,sample27,0
Chaetognatha,sample27,9
Chordata,sample27,7
Cnidaria,sample27,13
Ctenophora,sample27,0
Echinodermata,sample27,3
Entoprocta,sample27,0
Hemichordata,sample27,0
Mollusca,sample27,43
Nemertea,sample27,0
Phoronida,sample27,0
Platyhelminthes,sample27,1
Porifera,sample27,0
Sipuncula,sample27,0
Annelida,sample28,1
Arthropoda,sample28,21
Brachiopoda,sample28,0
Chaetognatha,sample28,18
Chordata,sample28,9
Cnidaria,sample28,2
Ctenophora,sample28,0
Echinodermata,sample28,0
Entoprocta,sample28,0
Hemichordata,sample28,0
Mollusca,sample28,2
Nemertea,sample28,0
Phoronida,sample28,0
Platyhelminthes,sample28,0
Porifera,sample28,0
Sipuncula,sample28,0
Annelida,sample29,3
Arthropoda,sample29,29
Brachiopoda,sample29,0
Chaetognatha,sample29,27
Chordata,sample29,6
Cnidaria,sample29,16
Ctenophora,sample29,1
Echinodermata,sample29,8
Entoprocta,sample29,0
Hemichordata,sample29,0
Mollusca,sample29,7
Nemertea,sample29,0
Phoronida,sample29,0
Platyhelminthes,sample29,0
Porifera,sample29,0
Sipuncula,sample29,0
