phylum,variable,value
Brachiopoda,sample11,0
Chaetognatha,sample11,15
Chordata,sample11,7
Cnidaria,sample11,5
Ctenophora,sample11,0
Echinodermata,sample11,5
Entoprocta,sample11,1
Hemichordata,sample11,0
Mollusca,sample11,40
Nemertea,sample11,1
Phoronida,sample11,0
Platyhelminthes,sample11,1
Porifera,sample11,1
Sipuncula,sample11,1
Annelida,sample12,0
Arthropoda,sample12,56
Brachiopoda,sample12,1
Chaetognatha,sample12,14
Chordata,sample12,12
Cnidaria,sample12,13
Ctenophora,sample12,0
Echinodermata,sample12,5
Entoprocta,sample12,0
Hemichordata,sample12,0
Mollusca,sample12,32
Nemertea,sample12,2
Phoronida,sample12,1
Platyhelminthes,sample12,1
Porifera,sample12,0
Sipuncula,sample12,1
Annelida,sample13,1
Arthropoda,sample13,59
Brachiopoda,sample13,0
Chaetognatha,sample13,14
Chordata,sample13,11
Cnidaria,sample13,8
Ctenophora,sample13,0
Echinodermata,sample13,9
Entoprocta,sample13,0
Hemichordata,sample13,0
Mollusca,sample13,44
Nemertea,sample13,1
Phoronida,sample13,0
Platyhelminthes,sample13,0
Porifera,sample13,1
Sipuncula,sample13,2
Annelida,sample14,4
Arthropoda,sample14,47
Brachiopoda,sample14,0
Chaetognatha,sample14,20
Chordata,sample14,7
Cnidaria,sample14,14
Ctenophora,sample14,0
Echinodermata,sample14,5
Entoprocta,sample14,0
Hemichordata,sample14,1
Mollusca,sample14,50
Nemertea,sample14,0
Phoronida,sample14,0
Platyhelminthes,sample14,0
Porifera,sample14,2
Sipuncula,sample14,1
Annelida,sample15,5
Arthropoda,sample15,50
Brachiopoda,sample15,0
Chaetognatha,sample15,21
Chordata,sample15,7
Cnidaria,sample15,5
Ctenophora,sample15,0
Echinodermata,sample15,6
Entoprocta,sample15,0
Hemichordata,sample15,0
Mollusca,sample15,48
Nemertea,sample15,0
Phoronida,sample15,0
Platyhelminthes,sample15,0
Porifera,sample15,3
Sipuncula,sample15,0
Annelida,sample16,3
Arthropoda,sample16,26
Brachiopoda,sample16,0
Chaetognatha,sample16,3
Chordata,sample16,5
Cnidaria,sample16,4
Ctenophora,sample16,0
Echinodermata,sample16,4
Entoprocta,sample16,0
Hemichordata,sample16,1
Mollusca,sample16,13
Nemertea,sample16,0
Phoronida,sample16,0
Platyhelminthes,sample16,0
Porifera,sample16,2
Sipuncula,sample16,0
Annelida,sample17,3
Arthropoda,sample17,32
Brachiopoda,sample17,0
Chaetognatha,sample17,9
Chordata,sample17,2
Cnidaria,sample17,8
Ctenophora,sample17,0
Echinodermata,sample17,5
Entoprocta,sample17,0
Hemichordata,sample17,1
Mollusca,sample17,21
Nemertea,sample17,0
Phoronida,sample17,0
Platyhelminthes,sample17,0
Porifera,sample17,1
Sipuncula,sample17,0
Annelida,sample18,2
Arthropoda,sample18,41
Brachiopoda,sample18,0
Chaetognatha,sample18,16
Chordata,sample18,3
Cnidaria,sample18,11
Ctenophora,sample18,0
Echinodermata,sample18,6
Entoprocta,sample18,0
Hemichordata,sample18,1
Mollusca,sample18,34
Nemertea,sample18,0
Phoronida,sample18,0
Platyhelminthes,sample18,0
Porifera,sample18,0
Sipuncula,sample18,0
Annelida,sample19,4
Arthropoda,sample19,51
Brachiopoda,sample19,0
Chaetognatha,sample19,19
Chordata,sample19,4
Cnidaria,sample19,9
Ctenophora,sample19,0
Echinodermata,sample19,8
Entoprocta,sample19,0
Hemichordata,sample19,2
Mollusca,sample19,50
Nemertea,sample19,0
Phoronida,sample19,0
Platyhelminthes,sample19,0
Porifera,sample19,3
Sipuncula,sample19,0
Annelida,sample20,6
Arthropoda,sample20,57
Brachiopoda,sample20,0
Chaetognatha,sample20,44
Chordata,sample20,9
Cnidaria,sample20,16
Ctenophora,sample20,1
Echinodermata,sample20,15
Entoprocta,sample20,1
Hemichordata,sample20,0
Mollusca,sample20,59
Nemertea,sample20,1
Phoronida,sample20,0
Platyhelminthes,sample20,1
Porifera,sample20,4
Sipuncula,sample20,1
Annelida,sample21,3
Arthropoda,sample21,51
Brachiopoda,sample21,0
Chaetognatha,sample21,26
Chordata,sample21,7
Cnidaria,sample21,8
Ctenophora,sample21,0
Echinodermata,sample21,6
Entoprocta,sample21,1
Hemichordata,sample21,0
Mollusca,sample21,41
Nemertea,sample21,0
Phoronida,sample21,0
Platyhelminthes,sample21,1
Porifera,sample21,0
Sipuncula,sample21,0
Annelida,sample22,2
Arthropoda,sample22,29
Brachiopoda,sample22,0
Chaetognatha,sample22,8
Chordata,sample22,4
Cnidaria,sample22,4
Ctenophora,sample22,0
Echinodermata,sample22,4
Entoprocta,sample22,0
Hemichordata,sample22,0
Mollusca,sample22,20
Nemertea,sample22,0
Phoronida,sample22,0
Platyhelminthes,sample22,0
Porifera,sample22,1
Sipuncula,sample22,0
Annelida,sample23,0
Arthropoda,sample23,28
Brachiopoda,sample23,0
Chaetognatha,sample23,9
Chordata,sample23,5
Cnidaria,sample23,2
Ctenophora,sample23,0
Echinodermata,sample23,5
Entoprocta,sample23,0
Hemichordata,sample23,0
Mollusca,sample23,17
Nemertea,sample23,0
Phoronida,sample23,0
Platyhelminthes,sample23,0
Porifera,sample23,0
Sipuncula,sample23,1
Annelida,sample24,7
Arthropoda,sample24,40
Brachiopoda,sample24,0
Chaetognatha,sample24,13
Chordata,sample24,5
Cnidaria,sample24,6
Ctenophora,sample24,0
Echinodermata,sample24,4
Entoprocta,sample24,1
Hemichordata,sample24,0
Mollusca,sample24,24
Nemertea,sample24,0
Phoronida,sample24,0
Platyhelminthes,sample24,0
Porifera,sample24,2
Sipuncula,sample24,0
Annelida,sample25,5
Arthropoda,sample25,59
Brachiopoda,sample25,0
Chaetognatha,sample25,14
Chordata,sample25,7
Cnidaria,sample25,10
Ctenophora,sample25,0
Echinodermata,sample25,6
Entoprocta,sample25,1
Hemichordata,sample25,0
Mollusca,sample25,52
Nemertea,sample25,0
Phoronida,sample25,0
Platyhelminthes,sample25,1
Porifera,sample25,1
Sipuncula,sample25,0
Annelida,sample26,2
Arthropoda,sample26,49
Brachiopoda,sample26,0
Chaetognatha,sample26,23
Chordata,sample26,4
Cnidaria,sample26,9
Ctenophora,sample26,0
Echinodermata,sample26,2
Entoprocta,sample26,0
Hemichordata,sample26,1
Mollusca,sample26,41
Nemertea,sample26,0
Phoronida,sample26,0
Platyhelminthes,sample26,1
Porifera,sample26,3
Sipuncula,sample26,0
Annelida,sample27,5
Arthropoda,sample27,66
Brachiopoda,sample27,0
Chaetognatha,sample27,22
Chordata,sample27,10
Cnidaria,sample27,19
Ctenophora,sample27,0
Echinodermata,sample27,6
Entoprocta,sample27,0
Hemichordata,sample27,0
Mollusca,sample27,47
Nemertea,sample27,0
Phoronida,sample27,0
Platyhelminthes,sample27,0
Porifera,sample27,2
Sipuncula,sample27,0
Annelida,sample28,1
Arthropoda,sample28,23
Brachiopoda,sample28,0
Chaetognatha,sample28,5
Chordata,sample28,6
Cnidaria,sample28,1
Ctenophora,sample28,0
Echinodermata,sample28,2
Entoprocta,sample28,0
Hemichordata,sample28,0
Mollusca,sample28,15
Nemertea,sample28,0
Phoronida,sample28,0
Platyhelminthes,sample28,0
Porifera,sample28,0
Sipuncula,sample28,0
Annelida,sample29,2
Arthropoda,sample29,41
Brachiopoda,sample29,0
Chaetognatha,sample29,12
Chordata,sample29,5
Cnidaria,sample29,8
Ctenophora,sample29,0
Echinodermata,sample29,7
Entoprocta,sample29,0
Hemichordata,sample29,0
Mollusca,sample29,21
Nemertea,sample29,0
Phoronida,sample29,0
Platyhelminthes,sample29,0
Porifera,sample29,1
Sipuncula,sample29,0
