uniq10926,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Macrophiothrix,Macrophiothrix lorioli,,,,,,,,
uniq13215,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Macrophiothrix,Macrophiothrix,,,,,,,,
uniq1437,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Macrophiothrix,Macrophiothrix,,,,,,,,
uniq16289,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Macrophiothrix,Macrophiothrix koehleri,,,,,,,,
uniq35058,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Macrophiothrix,Macrophiothrix lorioli,,,,,,,,
uniq365,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Macrophiothrix,Macrophiothrix lorioli,,,,,,,,
uniq38797,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Macrophiothrix,Macrophiothrix,,,,,,,,
uniq48495,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Macrophiothrix,Macrophiothrix,,,,,,,,
uniq50433,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Macrophiothrix,Macrophiothrix longipeda,,,,,,,,
uniq21699,Echinodermata,Echinoidea,Echinoidea,Temnopleuroida,Mespilia,Mespilia globulus,,,,,,,,
uniq42443,Echinodermata,Echinoidea,Echinoidea,Temnopleuroida,Mespilia,Mespilia globulus,,,,,,,,
uniq7099,Echinodermata,Echinoidea,Echinoidea,Temnopleuroida,Mespilia,Mespilia,,,,,,,,
uniq14599,Echinodermata,Echinoidea,Echinoidea,Spatangoida,Metalia,Metalia,,,,,,,,
uniq50069,Echinodermata,Echinoidea,Echinoidea,Spatangoida,Metalia,Metalia,,,,,,,,
uniq15382,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiocoma,Ophiocoma erinaceus,,,,,,,,
uniq1850,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiocoma,Ophiocoma erinaceus,,,,,,,,
uniq29294,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiocoma,Ophiocoma brevipes,,,,,,,,
uniq48148,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiocoma,Ophiocoma erinaceus,,,,,,,,
uniq92,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiocoma,Ophiocoma,,,,,,,,
uniq11160,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiomastix,Ophiomastix asperula,,,,,,,,
uniq21384,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiomastix,Ophiomastix,,,,,,,,
uniq6096,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiomastix,Ophiomastix,,,,,,,,
uniq9283,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiomastix,Ophiomastix asperula,,,,,,,,
uniq11815,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophionereis,Ophionereis variegata,,,,,,,,
uniq18357,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophionereis,Ophionereis variegata,,,,,,,,
uniq720,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophionereis,Ophionereis,,,,,,,,
uniq12366,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiothrix,Ophiothrix,,,,,,,,
uniq13772,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiothrix,Ophiothrix armata,,,,,,,,
uniq1414,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiothrix,Ophiothrix armata,,,,,,,,
uniq15275,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiothrix,Ophiothrix trilineata,,,,,,,,
uniq37694,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiothrix,Ophiothrix,,,,,,,,
uniq4017,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiothrix,Ophiothrix armata,,,,,,,,
uniq51381,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiothrix,Ophiothrix,,,,,,,,
uniq55,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiothrix,Ophiothrix armata,,,,,,,,
uniq6297,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiothrix,Ophiothrix armata,,,,,,,,
uniq6933,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiothrix,Ophiothrix,,,,,,,,
uniq9406,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiothrix,Ophiothrix,,,,,,,,
uniq14337,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiura,Ophiura,,,,,,,,
uniq4529,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiura,Ophiura,,,,,,,,
uniq732,Echinodermata,Ophiuroidea,Ophiuroidea,Amphilepidida,Ophiura,Ophiura,,,,,,,,
uniq21271,Echinodermata,Ophiuroidea,Ophiuroidea,Ophiuroidea,Ophiuroidea,Ophiuroidea,,,,,,,,
uniq4454,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Pearsonothuria,Pearsonothuria graeffei,,,,,,,,x
uniq2852,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Stichopus,Stichopus chloronotus,,,,,,,,
uniq2036,Echinodermata,Holothuroidea,Holothuroidea,Aspidochirotida,Thelenota,Thelenota ananas,,,,,,,,
uniq15695,Echinodermata,Echinoidea,Echinoidea,Temnopleuroida,Tripneustes,Tripneustes gratilla,,,,,,,,
uniq157,Echinodermata,Echinoidea,Echinoidea,Temnopleuroida,Tripneustes,Tripneustes kermadecensis,,,,,,,,
uniq39036,Echinodermata,Echinoidea,Echinoidea,Temnopleuroida,Tripneustes,Tripneustes,,,,,,,,
